KEY;VALUE
common.closing.closing.failed;"E-mail: <br/>- L'agente non ha fatto un riepilogo delle prossime azioni da seguire (laddove necessario / se il problema è complesso). <br/>- L'agente non ha offerto supporto per qualsiasi altro aiuto tramite hotline o altro.<br/>- L'agente non ha usato una frase di chiusura professionale per concludere l'e-mail (per esempio: ""Cordiali saluti"", ecc.)<br/>- L'agente ha usato la firma sbagliata.<br/>- L'agente non ha riletto prima dell'invio e quindi non ha corretto i piccoli errori di ortografia, di punteggiatura o altri piccoli refusi.<br/><br/>Telefono:<br/>- Lo script di chiusura non è stato seguito<br/>- In caso di stipulazione di un contratto (contract_closing): quando il CSS ha dimenticato di informare il cliente su cosa succederà dopo l'ordine.<br/>- La fine della chiamata è stata brusca (da parte del CSS)<br/>- Il CSS non ha ringraziato il cliente per la sua fedeltà, la sua pazienza o per il tempo che ha dedicato a contattarci<br/>- Il CSS non ha chiesto al cliente se aveva ""altre domande"""
case.closing.processingtime;Tempo di elaborazione
case.closing.processingtime.desc;Il tempo di elaborazione per risolvere e chiudere il ticket è entro il limite stabilito
case.closing.processingtime.passed;L'AHT dedicato al ticket è conforme
case.closing.processingtime.passed;AHT spent on the ticket is compliant
case.closing.processingtime.failed;AHT spent on the ticket is not compliant (too short / too long)
;
;
;
;
;
;
;
;
;
;
;
;
;
