common.opening;OUVERTURE
case.closing.processingtime.desc;Le temps de traitement pour résoudre et clôturer le ticket est dans les limites de temps
case.closing.processingtime.passed;L'AHT dépensée sur le ticket est conforme
case.closing.processingtime.desc;AHT spent on the ticket is not compliant (too short / too long)
case.closing.processingtime.passed;AHT spent on the ticket is compliant
case.closing.processingtime.failed;AHT spent on the ticket is not compliant (too short / too long)
;
;
;
;
;
;
;
;
;
;
;
;
;
