KEY;VALUE
inbound.sales.validation.desc;Erstelle einen RICHTIGEN Vertrag oder aktiviere eine Option gemäss den Richtlinien<br/>- gemäss dem von der Kund:in akzeptierten Abo/Angebot/Rabatt. Füge den folgenden Promo-Code hinzu<br/>- nach erfolgreichem ID-Checker
inbound.sales.validation.passed;Wenn:<br/>- Agent fragte nach dem finalen «ok», um den Vertrag zu validieren.<br/>- Agent validiert die angebotene Promo/den angebotenen Code richtig (d. h. App, Vertrag usw.)<br/>- Agent erstellt den richtigen Vertrag mit allen richtigen Preisen/Angeboten/Rabatten, denen die Kund:in zugestimmt hat.<br/>- Agent bat um Bestätigung zur Vertragserstellung, was von der Kund:In akzeptiert und erneut bestätigt wurde.<br/>- Alle vereinbarten Rabatte gemäss den Salt Preisnachlässen und Richtlinien sind enthalten.<br/>- Die standardmässige Verkaufspraxis wurde eingehalten<br/>- Kund:in wurde Punkt-für-Punkt um alle benötigten ID-Angaben gebeten (d. h. vollständiger Name, Geburtsdatum, Adresse, ID-Typ + Nr. gemäss den von Salt akzeptierten Ausweisarten, E-Mail-Adresse, Benutzerangaben usw.)<br/>- Keine Rechtschreibfehler oder andere Fehler, die Verwirrung stiften oder die Authentifizierung der gegebenen Daten verhindern können.
inbound.sales.validation.failed;Wenn:<br/>- Neuer Vertrag stimmt nicht mit der Vereinbarung mit der Kund:in überein.<br/>- Es werden nicht alle vereinbarten Rabattcodes gewährt.<br/>- Agent gewährte der Kund:in Rabatte, die nicht in den Salt Richtlinien festgehalten sind<br/>- Agent gewährte eine Entschädigung, die nicht in den Salt Richtlinien festgehalten ist<br/>- Agent verletzte die standardmässige Verkaufspraxis.<br/>- Agent fasste die Bestellung am Ende nicht zusammen.<br/>- Bittet nicht nach einem finalen «ok», um den Vertrag zu validieren.<br/>- Wenn der Agent das von Salt bereitgestellte Skript «ID_checker_speech» nicht richtig befolgt hat.
common.closing;ABSCHLUSS
common.closing.closing;Verabschiedung 
common.closing.closing.desc;E-Mail:<br/>Zusammenfassung und Zeitpläne. Dankt der Kund:in für die Treue, Geduld und die Zeit für die Kontaktaufnahme mit uns<br/>Abschiedsworte.<br/>Prüfe und korrigiere sie vor dem Versand.<br/><br/>Telefon:<br/>Zusammenfassung und Zeitpläne.<br/>CSS fragt, ob die Kund:in zusätzliche/weitere Fragen hat.<br/>Dankt der Kund:in für die Treue, Geduld und dass er/sie sich die Zeit genommen hat, uns zu kontaktieren<br/>Grussformel (je nach Jahreszeit).<br/><br/>*Bei Vertragsabschluss (Contract_closing):<br/>Stelle sicher, dass CSS die Kund:in darüber informiert, was nach der Bestellung geschieht.<br/>
common.closing.closing.passed;E-Mail:<br/>- Agent beendete die E-Mail mit einer Zusammenfassung, was er tun wird oder getan hat (falls nötig / bei komplexem Problem).  (z. B. «Ich werde Ihnen die SIM-Karte schicken. Sie sollten Sie innert XYZ Werktagen erhalten»).<br/>- Agent bot weitere Hilfe über die Hotline o. ä. an.<br/>- Agent beendete die E-Mail mit einer professionellen Schlussformel (z. B. «Freundliche Grüsse» usw.)<br/>- Agent hat zwecks Fehlerkorrektur die komplette E-Mail vor dem Versand noch einmal durchgelesen und auf geringfügige Rechtschreibfehler überprüft.<br/><br/>Telefon:<br/>- CSS verabschiedet sich gemäss Schluss-Skript<br/>- CSS gab bei einem Vertragsabschluss (contract_closing) die erforderliche Zusammenfassung<br/>- CSS gibt eine schnelle Zusammenfassung (fasst bei vielen besprochenen Themen die vorherigen Punkte zusammen oder erwähnt den vorgegebenen Termin/Rückruf).<br/>- CSS fragt, ob Kund:in zusätzliche/andere Fragen hat<br/>- CSS macht einen positiven Kommentar zur Wahl der Kund:in (wenn eine Bestellung abgeschlossen wurde).<br/>- CSS dankt der Kund:in für seine/ihre Treue, Geduld und dafür, dass er/sie sich die Zeit nahm, uns zu kontaktieren. Vermeidet «Danke für Ihren Anruf»<br/>- Schlussformel und nahtloses Anrufende.
common.closing.closing.failed;E-Mail: <br/>- Agent gab keine Zusammenfassung der nächsten Schritte (wenn nötig / wenn komplexes Thema). <br/>- Agent bot keine weitere Hilfe über die Hotline o. ä. an.<br/>- Agent hat keine professionelle Schlussformel für das Ende der E-Mail verwendet (z. B. «Freundliche Grüsse» usw.)<br/>- Agent hat die falsche Signatur benutzt.<br/>- Agent hat vor dem Senden keine Rechtschreibprüfung vorgenommen, daher sind kleine Rechtschreibfehler, Interpunktionsfehler oder andere kleine Fehler unterlaufen.<br/><br/>Telefon:<br/>- Schluss-Skript wurde nicht befolgt<br/>- Bei einem Vertragsabschluss (contract_closing): CSS hat Kund:in nicht darüber informiert, was nach der Bestellung passiert.<br/>- Abruptes Anrufende (seitens CSS)<br/>- CSS hat Kund:in nicht für die Treue oder Geduld oder Zeit für die Kontaktaufnahme gedankt.
case.closing.processingtime;Bearbeitungszeit
case.closing.processingtime.desc;Die Bearbeitungszeit zur Lösung und Schliessung des Tickets ist innerhalb des Zeitlimits
case.closing.processingtime.passed;Für das Ticket aufgewendete AHT bewegt sich im zulässigen Rahmen
case.closing.processingtime.passed;AHT spent on the ticket is compliant
case.closing.processingtime.failed;AHT spent on the ticket is not compliant (too short / too long)
;
;
;
;
;
;
;
;
;
;
;
;
;
